,run_number,chip_id,frontend,geoid,threshold,hv_voltage,psub_voltage,temperature,type,elog_link_s_curve,elog_link_run,checked,by,tdac_used
53,1483,W08R06,DCC,5,30.6,0,20,0,statistic,https://elog.belle2.org/elog/VTX+Upgrade+Testbeam+2024/159,https://elog.belle2.org/elog/VTX+Upgrade+Testbeam+2024/158,,,True
54,1484,W08R06,DCC,5,30.6,0,20,0,statistic,https://elog.belle2.org/elog/VTX+Upgrade+Testbeam+2024/159,https://elog.belle2.org/elog/VTX+Upgrade+Testbeam+2024/158,,,True
55,1485,W08R06,DCC,5,30.6,0,20,0,statistic,https://elog.belle2.org/elog/VTX+Upgrade+Testbeam+2024/160,https://elog.belle2.org/elog/VTX+Upgrade+Testbeam+2024/161,,,True
56,1486,W08R06,DCC,5,34.9,0,20,0,statistic,https://elog.belle2.org/elog/VTX+Upgrade+Testbeam+2024/160,https://elog.belle2.org/elog/VTX+Upgrade+Testbeam+2024/162,,,True
57,1487,W08R06,DCC,5,37,0,20,0,statistic,https://elog.belle2.org/elog/VTX+Upgrade+Testbeam+2024/160,https://elog.belle2.org/elog/VTX+Upgrade+Testbeam+2024/163,,,True
58,1488,W08R06,DCC,5,39,0,20,0,statistic,https://elog.belle2.org/elog/VTX+Upgrade+Testbeam+2024/160,https://elog.belle2.org/elog/VTX+Upgrade+Testbeam+2024/164,,,True
59,1492,W08R06,DCC,5,29.7,0,20,35,temp_scan,https://elog.belle2.org/elog/VTX+Upgrade+Testbeam+2024/171,https://elog.belle2.org/elog/VTX+Upgrade+Testbeam+2024/169,,,False
60,1493,W08R06,DCC,5,,0,20,0,temp_scan,,https://elog.belle2.org/elog/VTX+Upgrade+Testbeam+2024/172,,,False
61,1494,W08R06,DCC,5,46.8,0,20,39.97,temp_scan,https://elog.belle2.org/elog/VTX+Upgrade+Testbeam+2024/174,https://elog.belle2.org/elog/VTX+Upgrade+Testbeam+2024/175,,,False
62,1497,W08R06,DCC,5,28.5,0,6,0,bias_scan,https://elog.belle2.org/elog/VTX+Upgrade+Testbeam+2024/185,https://elog.belle2.org/elog/VTX+Upgrade+Testbeam+2024/182,,,False
63,1498,W08R06,DCC,5,28.8,0,7,0,bias_scan,https://elog.belle2.org/elog/VTX+Upgrade+Testbeam+2024/184,https://elog.belle2.org/elog/VTX+Upgrade+Testbeam+2024/183,,,False
64,1499,W08R06,DCC,5,29.2,0,8,0,bias_scan,https://elog.belle2.org/elog/VTX+Upgrade+Testbeam+2024/186,https://elog.belle2.org/elog/VTX+Upgrade+Testbeam+2024/187,,,False
65,1500,W08R06,DCC,5,31.8,0,15,0,bias_scan,https://elog.belle2.org/elog/VTX+Upgrade+Testbeam+2024/189,https://elog.belle2.org/elog/VTX+Upgrade+Testbeam+2024/188,,,False
66,1501,W08R06,DCC,5,30.2,0,9,0,bias_scan,https://elog.belle2.org/elog/VTX+Upgrade+Testbeam+2024/190,https://elog.belle2.org/elog/VTX+Upgrade+Testbeam+2024/191,,,False
67,1502,W08R06,DCC,5,31,0,10,0,bias_scan,https://elog.belle2.org/elog/VTX+Upgrade+Testbeam+2024/193,https://elog.belle2.org/elog/VTX+Upgrade+Testbeam+2024/192,,,False
68,1509,W08R06,HVC,6,19.43,30,0,32,statistic,https://elog.belle2.org/elog/VTX+Upgrade+Testbeam+2024/198,https://elog.belle2.org/elog/VTX+Upgrade+Testbeam+2024/198,,,True
69,1511,W08R06,HVC,6,19.8,30,0,32.64,thr_scan,https://elog.belle2.org/elog/VTX+Upgrade+Testbeam+2024/200,https://elog.belle2.org/elog/VTX+Upgrade+Testbeam+2024/201,,,True
70,1512,W08R06,HVC,6,20.1,30,0,33.58,thr_scan,https://elog.belle2.org/elog/VTX+Upgrade+Testbeam+2024/200,https://elog.belle2.org/elog/VTX+Upgrade+Testbeam+2024/202,,,True
71,1513,W08R06,HVC,6,25.8,30,0,33,thr_scan,https://elog.belle2.org/elog/VTX+Upgrade+Testbeam+2024/200,https://elog.belle2.org/elog/VTX+Upgrade+Testbeam+2024/203,,,True
72,1514,W08R06,HVC,6,27.5,30,0,33.21,thr_scan,https://elog.belle2.org/elog/VTX+Upgrade+Testbeam+2024/200,https://elog.belle2.org/elog/VTX+Upgrade+Testbeam+2024/204,,,True
73,1515,W08R06,HVC,6,22.2,30,0,32,thr_scan,https://elog.belle2.org/elog/VTX+Upgrade+Testbeam+2024/200,https://elog.belle2.org/elog/VTX+Upgrade+Testbeam+2024/205,,,True
74,1518,W05R15,HVC,7,21.3,30,0,0,statistic,https://elog.belle2.org/elog/VTX+Upgrade+Testbeam+2024/211,https://elog.belle2.org/elog/VTX+Upgrade+Testbeam+2024/212,,,True
75,1519,W05R15,HVC,7,21.3,30,0,0,statistic,https://elog.belle2.org/elog/VTX+Upgrade+Testbeam+2024/211,https://elog.belle2.org/elog/VTX+Upgrade+Testbeam+2024/213,,,True
76,1520,W05R15,HVC,7,33,6,0,0,bias_scan,https://elog.belle2.org/elog/VTX+Upgrade+Testbeam+2024/211,https://elog.belle2.org/elog/VTX+Upgrade+Testbeam+2024/214,,,True
77,1521,W05R15,HVC,7,29.5,8,0,0,bias_scan,https://elog.belle2.org/elog/VTX+Upgrade+Testbeam+2024/211,https://elog.belle2.org/elog/VTX+Upgrade+Testbeam+2024/215,,,True
78,1522,W05R15,HVC,7,27,10,0,0,bias_scan,https://elog.belle2.org/elog/VTX+Upgrade+Testbeam+2024/211,https://elog.belle2.org/elog/VTX+Upgrade+Testbeam+2024/216,,,True
79,1523,W05R15,HVC,7,26.3,12,0,0,bias_scan,https://elog.belle2.org/elog/VTX+Upgrade+Testbeam+2024/211,https://elog.belle2.org/elog/VTX+Upgrade+Testbeam+2024/217,,,True
80,1524,W05R15,HVC,7,25,14,0,0,bias_scan,https://elog.belle2.org/elog/VTX+Upgrade+Testbeam+2024/211,https://elog.belle2.org/elog/VTX+Upgrade+Testbeam+2024/218,,,True
81,1525,W05R15,HVC,7,23.9,16,0,0,bias_scan,https://elog.belle2.org/elog/VTX+Upgrade+Testbeam+2024/211,https://elog.belle2.org/elog/VTX+Upgrade+Testbeam+2024/219,,,True
82,1526,W05R15,HVC,7,23.1,18,0,0,bias_scan,https://elog.belle2.org/elog/VTX+Upgrade+Testbeam+2024/211,https://elog.belle2.org/elog/VTX+Upgrade+Testbeam+2024/220,,,True
83,1527,W05R15,HVC,7,22.1,30,0,35.81,temp_scan,https://elog.belle2.org/elog/VTX+Upgrade+Testbeam+2024/223,https://elog.belle2.org/elog/VTX+Upgrade+Testbeam+2024/222,,,True
84,1528,W05R15,HVC,7,22.3,20,0,34.88,bias_scan,https://elog.belle2.org/elog/VTX+Upgrade+Testbeam+2024/211,https://elog.belle2.org/elog/VTX+Upgrade+Testbeam+2024/224,,,True
85,1529,W05R15,HVC,7,49.8,30,0,0,thr_scan,https://elog.belle2.org/elog/VTX+Upgrade+Testbeam+2024/225,https://elog.belle2.org/elog/VTX+Upgrade+Testbeam+2024/226,,,True
86,1531,W05R15,DCC,7,43.6,0,6,0,thr_scan,https://elog.belle2.org/elog/VTX+Upgrade+Testbeam+2024/227,https://elog.belle2.org/elog/VTX+Upgrade+Testbeam+2024/229,,,True
87,1532,W05R15,DCC,7,35,0,6,0,thr_scan,https://elog.belle2.org/elog/VTX+Upgrade+Testbeam+2024/233,https://elog.belle2.org/elog/VTX+Upgrade+Testbeam+2024/230,,,True
88,1534,W05R15,DCC,7,34.3,0,6,0,thr_scan,https://elog.belle2.org/elog/VTX+Upgrade+Testbeam+2024/233,https://elog.belle2.org/elog/VTX+Upgrade+Testbeam+2024/232,,,True
89,1535,W05R15,DCC,7,31.4,0,6,0,thr_scan,https://elog.belle2.org/elog/VTX+Upgrade+Testbeam+2024/234,https://elog.belle2.org/elog/VTX+Upgrade+Testbeam+2024/235,,,True
90,1536,W05R15,DCC,7,59.2,0,6,0,thr_scan,https://elog.belle2.org/elog/VTX+Upgrade+Testbeam+2024/236,https://elog.belle2.org/elog/VTX+Upgrade+Testbeam+2024/237,,,True
